run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw	delta_e	T_0	thrust	F_meas	Drag_Force	CD_thrust_cor	TC_thrust_cor	CT_thrust_cor	epsilon_sb	epsilon_wb	epsilon_ss	epsilon_total	V_cor	q_cor	CL_cor1	CD_cor1	CMpitch_cor1	delta_alpha_total	delta_CL	delta_CDw	delta_CMpitch_total	AoA_cor	CL_cor2	CD_cor2	CMpitch_cor2
1	14	0	8	7.0	0	420	101290	286.43	1442.5	-155.8	1849.1	1925.0	-306.4	77.8	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	98.43	98.43	0.64	0.64	0	0	0	0	0	101290	1.4456734455218e-05	1.9987195264536	1.9987195264536	13.2747399213173	-1.46092587405618	223.861184144109	-0.335150955395857	-19.4133622311448	-0.509370623752683	0.0620955092191517	-0.0068338013865925	1.04715981678166	-0.0011225502940634	-0.550433160533274	-0.0017060794077268	1.04692198523701	-0.0659840206017581	0.0105338013865925	1.04105981678166	0.0620955092191517	0.0068338013865925	-0.0033180343427176	-0.565734964125379	-0.567934964125379	-0.0053367945455739	10	2.4953955040441826	2.701860479864033	13.27659242519015	15.978452905054183	0.0685322910802817	0.0332367772654922	0.13277692830117924	0.008426426629348418	0.0008238947081288804	-0.0003197360091110136	0.008930585328366285	40.33335340624075	1002.0495209315508	1.0227114267438044	0.06732442849000693	-0.5557640425582452	0.010582728286084175	0	0.007882224603264128	-0.0037951312742518523	7.010582728286084	1.0227114267438044	0.07520665309327106	-0.5595591738324971
2	14	0	53	1.507	0	420	101290	286.43	400.3	-95.8	1000.4	1016.6	-686.8	45.0	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	103.61	103.61	0.43	0.43	0	0	0	0	0	101290	1.4456734455218e-05	1.89879319552965	1.89879319552965	3.6877839747272	-0.925059835613591	106.837201882518	-0.712960279523638	-12.8550205999754	-0.303445197757347	0.0172504188525141	-0.0043271703921194	0.499754457998148	-0.0023879799790201	-0.364482439121909	-0.001016355437723	0.500035272758345	0.0041013701487263	0.004280670392119401	0.486064257998148	0.0172504188525141	0.0043271703921194	-0.0028810287853046996	-0.362143120880071	-0.369344520880071	-0.0041594448413603	10	5.763546650141187	5.927550603710193	3.6882986088470453	9.615849212557238	0.036723268794539445	0.07291741398703307	0.26289758185600604	0.008426426629348418	0.0006408411491654372	-0.0006709062294344059	0.008396361549079448	40.31199709412044	1000.9886412920922	0.47800357755992917	0.03611426591163106	-0.3561374952404984	0.0052802693622686055	0	0.001962301202879904	-0.0018935868758503695	1.5122802693622686	0.47800357755992917	0.03807656711451097	-0.3580310821163488
3	14	1	39	-0.002	0	420	101290	286.43	-870.8	-167.6	901.8	921.1	-1620.5	89.9	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0.28	0.27	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-8.00479211014517	-1.52996076947796	71.9465001350256	-1.2669138813634	-12.5357634694238	-0.596328699718011	-0.0374441718044287	-0.0071567272601324	0.336545543558707	-0.0042433850394301	-0.355430441363871	-0.0019973356675538	0.336546850401838	-0.0374324241259828	0.0071549272601324	0.32034414355870705	-0.0374441718044287	0.0071567272601324	-0.0056601995774328	-0.33837789039490296	-0.344876690394903	-0.005197117130185501	10	16.849310198384977	17.16418034960995	-8.005909187276139	9.158271162333811	0.03483424570224505	0.21114415177109094	0.5399029367242231	0.008426426629348418	0.0010239108566210305	-0.0017059319387348923	0.007744405547234556	40.28593427849159	999.6947262895485	0.3154394428778386	0.034300908189920494	-0.3331970799983908	0.0035392880854712106	0	0.0008816279352427948	-0.001269243860245503	0.0015392880854712106	0.3154394428778386	0.03518253612516329	-0.33446632385863634
4	14	2	25	1.495	0	420	101290	286.43	1447.9	-70.1	778.5	812.0	225.7	35.0	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0.26	0.26	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	13.3258416127889	-0.633996483855698	103.10835762711	-0.157867890599475	-11.174994012601	-0.240248823943497	0.062334548595644	-0.0029656576883251	0.482311970671776	-0.0005287606798145	-0.316848117294602	-0.0008046863170884	0.483774084747077	0.0497299500205141	0.0029131576883251	0.468604970671776	0.062334548595644	0.0029656576883251	-0.000642181552345	-0.327218294844514	-0.334417294844514	-0.003889955625717	10	-3.882611931469901	-4.0020585436852425	13.327701247956371	9.325642704271129	0.035367153578886146	-0.049231087027343585	-0.28324260247217814	0.008426426629348418	0.0005409863145343582	0.0005274011023670436	0.00949481404624982	40.35590920602646	1003.1705954952241	0.45983148724825146	0.03470499001878396	-0.3210919315633547	0.005266762399869418	0	0.0019522748852375707	-0.0018887430686547611	1.5002667623998696	0.45983148724825146	0.036657264904021526	-0.32298067463200947
5	14	3	3	3.0	0	420	101290	286.43	-603.0	-48.0	1536.7	1507.6	-1703.5	16.0	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0.7	0.69	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-5.55147734473966	-0.547438631514398	144.827045968018	-0.981068416306108	-16.5768765687815	-0.101978441022269	-0.0259682535916671	-0.0025607643382552	0.677460290852704	-0.0032859779197704	-0.470009391103106	-0.0003415652771225	0.675172781685255	-0.0613881971410344	0.0036607643382552003	0.666660290852704	-0.0259682535916671	0.0025607643382552	-0.0034843683400487004	-0.456090161746482	-0.462690161746482	-0.0036496229008817	10	16.084482990837884	16.675108494658264	-5.552252059223138	11.122856435435127	0.04382234219523167	0.20512786320586188	0.5245190777004172	0.008426426629348418	0.0005917342614941523	-0.0016656419823572336	0.007352518908485337	40.27026808447813	998.9173648282468	0.6569640938354967	0.0431849710040708	-0.4494565882059801	0.006908575562658776	0	0.00335915882803444	-0.002477522853237684	3.0069085755626586	0.6569640938354967	0.04654412983210524	-0.45193411105921777
6	14	3	40	4.5	0	420	101290	286.43	13.1	0.3	1727.5	1685.3	-1305.1	-5.6	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	115.79	115.79	0.47	0.46	0	0	0	0	0	101290	1.4456734455218e-05	1.69905832100205	1.69905832100205	0.126388017799647	-0.0030927472164859	177.173780385919	-0.676538655916921	-17.6976608792662	0.028539013597641	0.0005912076900177	-1.44670038307425e-05	0.828769239816045	-0.0022659898619349	-0.501787340896186	9.5588204629978e-05	0.826260806458189	-0.0644350999290054	0.0005144670038307425	0.821419239816045	0.0005912076900177	1.44670038307425e-05	-0.0015205693337149	-0.49660397453850497	-0.501953974538505	-0.0030328532786145965	10	11.970471196144471	12.572477540708391	0.12640565538002352	12.698883196088415	0.05129352458237002	0.15465959060808224	0.446471179062948	0.008426426629348418	0.00048707009853144736	-0.0013124585603533085	0.007601038167526557	40.28020297519206	999.4103021486333	0.8090729069053821	0.05052255782147819	-0.4891397739242318	0.008420388516779887	0	0.004990197969893759	-0.0030196825371963756	4.50842038851678	0.8090729069053821	0.055512755791371944	-0.49215945646142817
7	14	4	21	-0.995	0	420	101290	286.43	962.8	-124.1	328.8	380.2	34.1	52.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	89.48	89.48	0.3	0.29	0	0	0	0	0	101290	1.4456734455218e-05	2.19863615320549	2.19863615320549	8.85198608759231	-1.31267388660428	44.3637183565725	-0.538409783345625	-8.84835611409139	-0.357849232514171	0.0414071075567518	-0.0061403201803208	0.207521028550067	-0.0018033427949127	-0.250880221746939	-0.0011985756111442	0.206770696592493	0.0450044984123764	0.005244820180320801	0.19062452855006698	0.0414071075567518	0.0061403201803208	-0.0027552908352123	-0.256647937920918	-0.262550937920918	-0.0043366740782835	10	-0.14502209098668217	-0.14748481728968965	8.85322139153101	8.705736574241321	0.03291631121907703	-0.001814275777313975	-0.008770210802399947	0.008426426629348418	0.0010846558288282755	1.8218962961260797e-05	0.009529301421137955	40.35728788509481	1003.2391393072104	0.1870427697839128	0.032297826876295184	-0.2518256256589249	0.002356017959066982	0	0.0003906705804136366	-0.000844904753995401	-0.992643982040933	0.1870427697839128	0.03268849745670882	-0.2526705304129203
8	14	4	57	-4.0	0	420	101290	286.43	560.8	-120.9	-263.6	-243.2	27.1	55.5	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	98.43	98.43	0.48	0.47	0	0	0	0	0	101290	1.4456734455218e-05	1.9987195264536	1.9987195264536	5.14935223126477	-1.22382685554223	-30.4286490902309	-0.973940616796342	-5.28956841571271	-0.386461041843666	0.0240872251241387	-0.0057247186944079	-0.142336683905538	-0.0032621041598813	-0.14997679568595	-0.001294407636861	-0.143670198784302	0.0140996447006735	-0.0005752813055920998	-0.161936683905538	0.0240872251241387	0.0057247186944079	-0.003354049631748	-0.155965851585526	-0.156765851585526	-0.0035456774918501	10	4.4313180165303585	4.476987099160823	5.150070828767069	9.627057927927892	0.03822639270470729	0.05507339262861511	0.2200115807239963	0.008426426629348418	0.0018321147091640974	-0.0005167231030007599	0.009741818235511757	40.365783529793816	1003.6615691002573	-0.15882708161548284	0.037492347302342216	-0.15297090468675126	-0.0013092651842144475	0	0.00012064484040083932	0.0004695228973642988	-4.001309265184214	-0.15882708161548284	0.03761299214274306	-0.15250138178938696
9	14	5	56	6.995	0	420	101290	286.43	1171.8	-146.7	1907.0	1970.6	-546.0	74.5	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	103.61	103.61	0.71	0.72	0	0	0	0	0	101290	1.4456734455218e-05	1.89879319552965	1.89879319552965	10.7842640702183	-1.35760335734299	224.318711597617	-0.417505140463288	-19.8954110077937	-0.487099546713235	0.0504457618727913	-0.0063504876397968	1.04930000185313	-0.0013983863410041	-0.564100840994949	-0.0016314849490888	1.04763325665207	-0.0777163324950356	0.0100494876397968	1.04320750185313	0.0504457618727913	0.0063504876397968	-0.0034628723110004	-0.576110628717427	-0.578319128717427	-0.005280033470347	10	4.977537140075954	5.380683871512088	10.785769025575224	16.16645289708731	0.06940557959533349	0.06619016514963541	0.23864305395667626	0.008426426629348418	0.0009177867634272549	-0.0006134572020712868	0.008730756190704387	40.32536496843602	1001.6526276964722	1.0252273329992432	0.06820934199321771	-0.5661810927771107	0.010578922766306727	0	0.007876556770248875	-0.00379376655555817	7.005578922766307	1.0252273329992432	0.07608589876346658	-0.5699748593326689
10	14	6	31	4.005	0	420	101290	286.43	1721.2	-79.8	1243.7	1287.6	239.7	43.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0.78	0.74	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	15.840435328452	-0.689937624871104	161.096638496015	-0.0634841834476939	-14.0995980628282	-0.286719831926474	0.0740971125463421	-0.0032273346521106	0.753564880381553	-0.0002126331065158	-0.399770335069552	-0.0009603357127916	0.756899847800974	0.0212845350203259	0.0032323346521106	0.744878380381553	0.0740971125463421	0.0032273346521106	-0.00025295310244969997	-0.41476032618389796	-0.420654826183898	-0.003931997570726	10	-4.315201063358069	-4.53927252201829	15.84264587780873	11.30337335579044	0.04466763188441941	-0.055839593082646265	-0.32126350687588245	0.008426426629348418	0.00018100032752476638	0.000604035686594139	0.009211462643467323	40.34458185364685	1002.6075219677684	0.7313428504835517	0.043855955666169164	-0.4072235242798191	0.007937074052134454	0	0.004433782440348272	-0.0028463584386757587	4.012937074052134	0.7313428504835517	0.04828973810651743	-0.41006988271849487
